Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
k99_30003_5	k99_30003	3262	4128	+	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	289	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
k99_30857_1	k99_30857	157	1152	+	cfxA6	broad-spectrum class A beta-lactamase CfxA6	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	332	320	100.00	99.06	320	WP_117664257.1	broad-spectrum class A beta-lactamase CfxA6	NF033100.1	CfxA family broad-spectrum class A beta-lactamase
k99_31155_2	k99_31155	254	568	-	nimJ	5-nitroimidazole reductase NimJ	core	AMR	AMR	NITROIMIDAZOLE	NITROIMIDAZOLE	PARTIAL_CONTIG_ENDP	105	165	63.03	99.04	104	WP_005812825.1	5-nitroimidazole reductase NimJ	NA	NA
k99_31636_2	k99_31636	1302	1796	+	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	165	164	100.00	98.17	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
k99_32446_9	k99_32446	4502	5962	+	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	HMM	487	492	100.00	68.29	492	WP_011133547.1	Lsa family ABC-F type ribosomal protection protein	NF000167.2	Lsa family ABC-F type ribosomal protection protein
k99_328_3	k99_328	493	1293	+	erm(F)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/MACROLIDE/STREPTOGRAMIN	BLASTP	267	266	100.00	99.62	266	WP_002682030.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	NF012223.0	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)
k99_3378_1	k99_3378	126	920	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTP	265	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NF033064.0	aminoglycoside O-phosphotransferase APH(3')-IIIa
k99_377_2	k99_377	448	2370	-	tet(44)	tetracycline resistance ribosomal protection protein Tet(44)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	641	640	100.00	98.91	640	WP_063855884.1	tetracycline resistance ribosomal protection protein Tet(44)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
k99_515_1	k99_515	3	1763	-	tet(Q)	tetracycline resistance ribosomal protection protein Tet(Q)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	587	641	91.58	98.47	587	WP_002560998.1	tetracycline resistance ribosomal protection protein Tet(Q)	NF012153.1	tetracycline resistance ribosomal protection protein
k99_5165_1	k99_5165	113	436	+	aac(6')-E111	aminoglycoside 6'-N-acetyltransferase AAC(6')-E111	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN/TOBRAMYCIN	PARTIAL_CONTIG_ENDP	108	144	75.00	99.07	108	WP_065217783.1	aminoglycoside 6'-N-acetyltransferase AAC(6')-E111	NA	NA
NA	k99_557	39	890	+	blaACI-1	extended-spectrum class A beta-lactamase ACI-1	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	284	284	100.00	100.00	284	WP_006555379.1	extended-spectrum class A beta-lactamase ACI-1	NF000448.2	ACI family class A beta-lactamase
k99_6627_1	k99_6627	39	1004	-	cfxA	CfxA family broad-spectrum class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTP	322	321	100.00	99.38	321	WP_004339683.1	CfxA family broad-spectrum class A beta-lactamase	NF033100.1	CfxA family broad-spectrum class A beta-lactamase
